"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckmtnh64p""","Link","Payment Term","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Payment Term","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckrro1rd0""","Card Break","Payments","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckbkk12tu""","Link","Payment Entry","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Payment Entry","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncku64295h""","Link","Journal Entry","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Journal Entry","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncksh5t9i4""","Link","Journal Entry Template","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Journal Entry Template","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nckg5e947b""","Link","Terms and Conditions","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Terms and Conditions","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nck52b7tfu""","Link","Mode of Payment","2020-03-02 15:41:59.515192","Administrator","","",0,"DocType","Mode of Payment","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Manufacturing""","Manufacturing","Manufacturing","Workspace","2020-03-02 17:11:37.032604","Administrator",8.0,"","","Manufacturing","erpnext","","","","organization","","",0,1,0,"","""ng8opephb8""","Open Work Orders","2020-03-02 17:11:37.032604","Administrator","Open Work Orders","","""ng8q4k2un1""","Produced Quantity","2020-03-02 17:11:37.032604","Administrator","Produced Quantity","","","","","","","","","","","","","","","","","","""ng8tj56im6""","Card Break","Tools","2020-03-02 17:11:37.032604","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","""nknfrt0iff""","2026-02-13 14:08:39.187169","Administrator","Stock User"
"","","","","","","","","","","","","","","","","","","","","","","""ng8uv6v2lg""","WIP Work Orders","2020-03-02 17:11:37.032604","Administrator","WIP Work Orders","","","","","","","","","","","","","","","","","","","","","","","","""ng874h1vca""","Link","BOM Update Tool","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","BOM Update Tool","","","",0,0,"","","","","","","","","","","","","","","""nkntn89tmm""","2026-02-13 14:08:39.187281","Administrator","Manufacturing User"
"","","","","","","","","","","","","","","","","","","","","","","""ng8ufnka55""","Manufactured Items Value","2020-03-02 17:11:37.032604","Administrator","Manufactured Items Value","","","","","","","","","","","","","","","","","","","","","","","","""ng8t4q37ot""","Link","BOM Comparison Tool","2020-03-02 17:11:37.032604","Administrator","","",0,"Page","bom-comparison-tool","","","",0,0,"","","","","","","","","","","","","","","""nknbd2ns29""","2026-02-13 14:08:39.187376","Administrator","Manufacturing Manager"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng82lj93lu""","Card Break","Settings","2020-03-02 17:11:37.032604","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8f6f6bfp""","Link","Manufacturing Settings","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Manufacturing Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8i4k0p3u""","Card Break","Bill of Materials","2020-03-02 17:11:37.032604","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8omhduov""","Link","Item","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Item","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8gemg5jt""","Link","Bill of Materials","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","BOM","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng84dm4umq""","Link","Workstation Type","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Workstation Type","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8cgk5ul9""","Link","Workstation","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Workstation","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8bt8updl""","Link","Operation","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Operation","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8hedshsg""","Link","Routing","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Routing","","Work Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8vm07ujm""","Card Break","Subcontracting","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng86vjsa2j""","Link","BOM","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","BOM","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng89ii1c5n""","Link","Subcontracting BOM","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Subcontracting BOM","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8mk7qhqf""","Link","Subcontracting Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Subcontracting Order","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8aj9giq5""","Link","Subcontracting Receipt","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Subcontracting Receipt","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng87rf892t""","Link","Subcontract Order Summary","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Subcontract Order Summary","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8o56ula2""","Link","Subcontracted Raw Materials To Be Transferred","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Subcontracted Raw Materials To Be Transferred","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8gqgtkd6""","Link","Subcontracted Item To Be Received","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Subcontracted Item To Be Received","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8a5jftaq""","Card Break","Reports","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8lldefgq""","Link","Production Planning Report","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Production Planning Report","","Work Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8hlip3nq""","Link","Material Requirements Planning","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Material Requirements Planning Report","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng84lsab79""","Link","Work Order Summary","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Work Order Summary","","Work Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8afv94sc""","Link","Quality Inspection Summary","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Quality Inspection Summary","","Quality Inspection","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8quo2r0m""","Link","Downtime Analysis","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Downtime Analysis","","Downtime Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng82jmprpu""","Link","Job Card Summary","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Job Card Summary","","Job Card","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8jirnjbg""","Link","BOM Search","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","BOM Search","","BOM","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng87e7298p""","Link","BOM Stock Report","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","BOM Stock Report","","BOM","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8tlbbn7s""","Link","Production Analytics","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Production Analytics","","Work Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8728nhjl""","Link","BOM Operations Time","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","BOM Operations Time","","BOM","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8ft3u96i""","Link","Work Order Consumed Materials","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Work Order Consumed Materials","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8294brlt""","Card Break","Production","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8u5g56cr""","Link","Work Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Work Order","","Item, BOM","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8siskn6k""","Link","Production Plan","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Production Plan","","Item, BOM","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8cr1bh0k""","Link","Stock Entry","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Stock Entry","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng83so7tva""","Link","Job Card","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Job Card","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng863uhi4k""","Link","Item Lead Time","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Item Lead Time","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng85uraq7f""","Link","Master Production Schedule","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Master Production Schedule","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8o2rc0v8""","Link","Downtime Entry","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Downtime Entry","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ng8g2ho63t""","Link","Sales Forecast","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Sales Forecast","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Projects""","Projects","Projects","Workspace","2020-03-02 15:46:04.874669","Administrator",11.0,"","","Projects","erpnext","","","","project","","",0,1,0,"","""tc70jp7has""","Timesheet Working Hours","2020-03-02 15:46:04.874669","Administrator","Working Hours","","""tc72hirp1b""","Completed Projects","2020-03-02 15:46:04.874669","Administrator","Completed Projects","","","","","","","","","","","","","","","","","","""tc7k3v5g39""","Card Break","Projects","2020-03-02 15:46:04.874669","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""tc77aq78bs""","Open Projects","2020-03-02 15:46:04.874669","Administrator","Open Projects","","","","","","","","","","","","","","","","","","","","","","","","""tc7kbllu4s""","Link","Project","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Project","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""tc7tu7fibv""","Non Completed Tasks","2020-03-02 15:46:04.874669","Administrator","Non Completed Tasks","","","","","","","","","","","","","","","","","","","","","","","","""tc74p6nprr""","Link","Task","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Task","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7e34p582""","Link","Project Template","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Project Template","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7o3lvdoq""","Link","Project Type","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Project Type","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc79ich8oh""","Link","Project Update","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Project Update","","Project","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7l7am0dk""","Card Break","Time Tracking","2020-03-02 15:46:04.874669","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7373u492""","Link","Timesheet","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Timesheet","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7rar7u19""","Link","Activity Type","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Activity Type","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7mtfj83h""","Link","Activity Cost","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Activity Cost","","Activity Type","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7c4v6ec6""","Card Break","Reports","2020-03-02 15:46:04.874669","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc72hi7ti0""","Link","Daily Timesheet Summary","2020-03-02 15:46:04.874669","Administrator","","",0,"Report","Daily Timesheet Summary","","Timesheet","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7sl3jbjo""","Link","Project wise Stock Tracking","2020-03-02 15:46:04.874669","Administrator","","",0,"Report","Project wise Stock Tracking","","Project","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7d85qebp""","Link","Timesheet Billing Summary","2020-03-02 15:46:04.874669","Administrator","","",0,"Report","Timesheet Billing Summary","","Project","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc716l0b8j""","Link","Delayed Tasks Summary","2020-03-02 15:46:04.874669","Administrator","","",0,"Report","Delayed Tasks Summary","","Task","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7g0t9759""","Card Break","Settings","2020-03-02 15:46:04.874669","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tc7g2v7bkq""","Link","Projects Settings","2020-03-02 15:46:04.874669","Administrator","","",0,"DocType","Projects Settings","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Quality""","Quality","Quality","Workspace","2020-03-02 15:49:28.632014","Administrator",9.0,"","","Quality Management","erpnext","","","","quality","","",0,1,0,"","","","","","","","""njcv241g18""","Quality Inspections","2020-03-02 15:49:28.632014","Administrator","Quality Inspections","","","","","","","","","","","","","","","","","","""njcb57q3cp""","Card Break","Feedback","2020-03-02 15:49:28.632014","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njc0n3s0j7""","Link","Quality Feedback","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Feedback","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcejmbt2d""","Link","Quality Feedback Template","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Feedback Template","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcc0kfpv0""","Card Break","Meeting","2020-03-02 15:49:28.632014","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njc209k45e""","Link","Quality Meeting","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Meeting","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcvv212df""","Card Break","Review and Action","2020-03-02 15:49:28.632014","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcm1ovv2t""","Link","Non Conformance","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Non Conformance","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcs8g5lm6""","Link","Quality Review","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Review","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcp9h0j7q""","Link","Quality Action","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Action","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njc29350jm""","Card Break","Goal and Procedure","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njckmi5tv9""","Link","Quality Goal","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Goal","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcnn8684p""","Link","Quality Procedure","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Procedure","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njcv4tfgu6""","Link","Tree of Procedures","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Procedure","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njc2hu0l66""","Link","Quality Inspection","2020-03-02 15:49:28.632014","Administrator","","",0,"DocType","Quality Inspection","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Selling""","Selling","Selling","Workspace","2020-01-28 11:49:12.092882","Administrator",6.0,"","","Selling","erpnext","","","","sell","","",0,1,0,"","""nedgn2rqth""","Total Sales Amount","2020-01-28 11:49:12.092882","Administrator","Total Sales Amount","","""ned73b18u2""","Sales Order Trends","2020-01-28 11:49:12.092882","Administrator","Sales Order Trends","","","","","","","","","","","","","","","","","","""nedfp2f2qq""","Card Break","Selling","2020-01-28 11:49:12.092882","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""nedt8v6orc""","Sales Orders Count","2020-01-28 11:49:12.092882","Administrator","Sales Orders","","","","","","","","","","","","","","","","","","","","","","","","""nedq4govit""","Link","Customer","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Customer","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""ned56qcg53""","Average Sales Order Value","2020-01-28 11:49:12.092882","Administrator","Average Order Value","","","","","","","","","","","","","","","","","","","","","","","","""ned78osd87""","Link","Quotation","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Quotation","","Item, Customer","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ned118m3a6""","Link","Sales Order","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Sales Order","","Item, Customer","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedqpj3b04""","Link","Sales Invoice","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Sales Invoice","","Item, Customer","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedn6kgeu6""","Link","Blanket Order","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Blanket Order","","Item, Customer","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedcb6irdr""","Link","Sales Partner","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Sales Partner","","Item","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ned5jb7kqd""","Link","Sales Person","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Sales Person","","Item, Customer","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedfbf622f""","Card Break","Items and Pricing","2020-01-28 11:49:12.092882","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedmfqocm3""","Link","Item","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Item","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedklht84e""","Link","Item Price","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Item Price","","Item, Price List","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedq0esfc4""","Link","Price List","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Price List","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""neduv6eoqo""","Link","Item Group","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Item Group","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedspo238p""","Link","Product Bundle","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Product Bundle","","Item","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ned8b80imj""","Link","Promotional Scheme","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Promotional Scheme","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedb8ae7kt""","Link","Pricing Rule","2020-01-28 11:49:12.092882","Administrator","","",0,"DocType","Pricing Rule","","Item","",0,0,"","","","","","","","","","","","","","","","","",""
